"City Council District","Agency","Site","Address","Borough","Environmental Justice Area","Installation Date","Installed or Estimated Capacity","Percentage of Max Peak Demand","Estimated Annual Production","Percentage of Annual Electricity Consumption","Estimated Annual Emissions Reduction","Estimated Social Cost of Carbon Value","Estimated Annual Energy Savings","Upfront Project Cost","Financing Mechanism","Status","Solar-Readiness Assessment","Total Gross Square Footage","Roof Condition","Roof Age","Other Sustaibility Projects","Year of Report","Data Current as of","Postcode","Latitude","Longitude","Community Board","Census Tract","BIN","BBL","NTA"
"38","DPR","Sunset Park Recreation Center and Pool House","4213-4215 7th Ave","Brooklyn","No",,,,,,,,,,,"Not Solar Ready","No","17,000 GSF","Fair","> 20 years","Existing Green Roof, Planned Green Roof","2022","07/07/2022","11232","40.646789","-74.00138","307","92","3018264","3009240005","Sunset Park East"
"38","DSNY","Hamilton Avenue Marine Transfer Station","500 Hamilton Ave","Brooklyn","No",,,,,,,,,,,"Not Solar Ready","No","110,946 GSF","Between Fair and Poor","Unknown","No","2022","07/07/2022","11232","40.668959","-73.996813","307","18","3336714","3006250002","Sunset Park West"
"38","FDNY","Engine Co. 201 and Ladder 114, Batt. 40","5113 4th Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","17,772 GSF","Poor","> 20 years","No","2022","07/07/2022","11220","40.645773","-74.01329","307","78","3414005","3007990003","Sunset Park West"
"38","FDNY","Engine Co. 279 and Ladder Co. 131","252 Lorraine St","Brooklyn","No",,,,,,,,,,,"Not Solar Ready","No","10,548 GSF","Unknown","10 to 14 years","No","2022","07/07/2022","11231","40.672335","-73.999611","306","53","3008207","3004860018","Carroll Gardens-Columbia Street-Red Hook"
"38","NYPD","42nd Street Warehouse","234 41st St","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","31,569 GSF","Poor","> 20 years","No","2022","07/07/2022","11232","40.653609","-74.01083","307","2","3010669","3007170061","Sunset Park West"
"38","NYPD","72nd Precinct","830 4th Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","53,600 GSF","Fair","15 to 19 years","No","2022","07/07/2022","11232","40.65815","-74.00044","307","101","3009843","3006680029","Sunset Park West"
"38","NYPD","Applicant Processing Division","4201 4th Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","44,625 GSF","Good","Unknown","No","2022","07/07/2022","11232","40.650316","-74.008166","307","82","3010833","3007240001","Sunset Park West"
"38","NYPD","Harbor Unit Charlie","140 58th St Dock","Brooklyn","No",,,,,,,,,,,"Not Solar Ready","No","16,000 GSF","Between Fair and Poor","Unknown","No","2022","07/07/2022","11220","40.645338","-74.022864","307","18","3414976","3057780001","Sunset Park West"
"38","NYPD","Marine Termil Storage","23rd St","Brooklyn","No",,,,,,,,,,,"Not Solar Ready","No","64,811 GSF","Poor","> 20 years","No","2022","07/07/2022",,,,,,,,
"39","BPL","Borough Park Branch Library","1265 43rd St","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","19,594 GSF","Between Fair and Poor","> 20 years","No","2022","07/07/2022","11219","40.638914","-73.989479","312","224","3135907","3055980048","Borough Park"
"39","BPL","Carroll Gardens Branch Library","396 Clinton St","Brooklyn","No",,,,,,,,,,,"Not Solar Ready","No","14,779 GSF","Between Fair and Poor","15 to 19 years","No","2022","07/07/2022","11231","40.683265","-73.997739","306","67","3004336","3003380033","Carroll Gardens-Columbia Street-Red Hook"
"39","BPL","Pacific Branch Library","25 4th Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","15,758 GSF","Unknown","Unknown","No","2022","07/07/2022","11217","40.683666","-73.978814","306","12901","3018376","3009280006","Park Slope-Gowanus"
"39","DHS","Park Slope Armory Shelter","1402 8th Ave","Brooklyn","No",,,,,,,,,,,"Not Solar Ready","No","109,556 GSF","Fair","> 20 years","No","2022","07/07/2022","11215","40.66265","-73.981819","306","149","3026581","3011020012","Park Slope-Gowanus"
"39","DOE","K039","417 6th Ave","Brooklyn","No",,,,,,,,,,,"Not Solar Ready","No","26,000 GSF","Between Good and Fair","5 to 9 years","No","2022","07/07/2022","11215","40.668916","-73.983195","306","153","3021932","3010000001","Park Slope-Gowanus"
"39","DOE","K051","350 5th Ave","Brooklyn","No",,,,,,,,,,,"Not Solar Ready","No","135,600 GSF","Fair","> 20 years","No","2022","07/07/2022","11215","40.672015","-73.983947","306","135","3021057","3009810111","Park Slope-Gowanus"
"39","DOE","K077 (K902 Annex)","62 Park Pl","Brooklyn","No",,,,,,,,,,,"Not Solar Ready","No","37,200 GSF","Good","2 to 4 years","No","2022","07/07/2022","11217","40.678983","-73.976497","306","12902","3259250","3009410050","Park Slope-Gowanus"
"39","DOE","K107","1301 8 Ave","Brooklyn","No",,,,,,,,,,,"Not Solar Ready","No","40,000 GSF","Between Fair and Poor","10 to 14 years","No","2022","07/07/2022","11215","40.663251","-73.981289","306","167","3026517","3011010001","Park Slope-Gowanus"
"39","DOE","K124","515 4th Ave","Brooklyn","No",,,,,,,,,,,"Not Solar Ready","No","39,600 GSF","Between Fair and Poor","> 20 years","No","2022","07/07/2022","11215","40.667545","-73.991046","306","141","3023391","3010340001","Park Slope-Gowanus"
"39","DOE","K130","70 Ocean Pkwy","Brooklyn","No",,,,,,,,,,,"Not Solar Ready","No","60,000 GSF","Poor","> 20 years","No","2022","07/07/2022","11218","40.648884","-73.975607","307","500","3124019","3053190001","Windsor Terrace"
"39","DOE","K131","4305 Ft Hamilton Pkwy","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","103,200 GSF","Under Construction","Under Construction","No","2022","07/07/2022","11219","40.641157","-73.993482","312","224","3136085","3056030001","Borough Park"
"39","DOE","K154","1625 11th Ave","Brooklyn","No",,,,,,,,,,,"Not Solar Ready","No","44,000 GSF","Good","5 to 9 years","No","2022","07/07/2022","11215","40.657472","-73.97618","307","171","3121871","3052570001","Windsor Terrace"
"39","DOE","K179","202 Avenue C","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","87,946 GSF","Fair","> 20 years","No","2022","07/07/2022","11218","40.640463","-73.977642","312","488","3126001","3053710001","Kensington-Ocean Parkway"
"39","DOE","K230","1 Albemarle Rd","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","87,440 GSF","Fair","> 20 years","No","2022","07/07/2022","11218","40.645017","-73.980761","312","498","3124109","3053230032","Kensington-Ocean Parkway"
"39","DOE","K282","180 6th Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","104,400 GSF","Fair","> 20 years","No","2022","07/07/2022","11217","40.67634","-73.977367","306","131","3019597","3009500024","Park Slope-Gowanus"
"39","DOE","K321","180 7th Ave","Brooklyn","No",,,,,,,,,,,"Not Solar Ready","No","103,109 GSF","Between Fair and Poor","> 20 years","No","2022","07/07/2022","11215","40.67146","-73.977783","306","155","3337516","3009710028","Park Slope-Gowanus"
"39","DOE","K460","237 Seventh Ave","Brooklyn","No",,,,,,,,,,,"Not Solar Ready","No","314,400 GSF","Between Fair and Poor","10 to 14 years","No","2022","07/07/2022","11215","40.669629","-73.979287","306","155","3025510","3010820001","Park Slope-Gowanus"
"39","DOE","K902","62 Park Pl","Brooklyn","No",,,,,,,,,,,"Not Solar Ready","No","75,000 GSF","Good","2 to 4 years","No","2022","07/07/2022","11217","40.678983","-73.976497","306","12902","3259250","3009410050","Park Slope-Gowanus"
"39","DPR","LeFrak Center at Lakeside, Recreation Center and Ice Rink","171 East Dr","Brooklyn","No",,,,,,,,,,,"Not Solar Ready","No","48,590 GSF","Fair","> 20 years","No","2022","07/07/2022","11226","40.658278","-73.963335","355","177","3426180","3011170001","park-cemetery-etc-Brooklyn"
"39","DPR","Litchfield Villa","95 Prospect Park West","Brooklyn","No",,,,,,,,,,,"Not Solar Ready","No","12,000 GSF","Poor","> 20 years","No","2022","07/07/2022","11215","40.667391","-73.974508","355","177","3339260","3011170001","park-cemetery-etc-Brooklyn"
"39","DPR","Prospect Park Zoo","450 Flatbush Ave","Brooklyn","No",,,,,,,,,,,"Not Solar Ready","No","47,600 GSF","Fair","15 to 19 years","No","2022","07/07/2022","11225","40.665728","-73.964242","355","177","3339261","3011170001","park-cemetery-etc-Brooklyn"
"39","FDNY","Engine Co. 282 and Ladder Co. 148","4210 12th Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","13,756 GSF","Unknown","15 to 19 years","No","2022","07/07/2022","11219","40.640157","-73.990379","312","224","3135859","3055970044","Borough Park"
"39","NYPD","76th Precinct","191 Union St","Brooklyn","No",,,,,,,,,,,"Not Solar Ready","No","14,984 GSF","Good","> 20 years","No","2022","07/07/2022","11231","40.683643","-74.000303","306","63","3004301","3003370027","Carroll Gardens-Columbia Street-Red Hook"
"40","DOE","K006","43 Snyder Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","81,600 GSF","Fair","> 20 years","No","2022","07/07/2022","11226","40.64859","-73.957138","314","794","3117230","3051030079","Erasmus"
"40","DOE","K061","400 Empire Blvd","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","168,000 GSF","Between Fair and Poor","15 to 19 years","No","2022","07/07/2022","11225","40.664007","-73.94922","309","329","3337872","3013160015","Prospect Lefferts Gardens-Wingate"
"40","DOE","K062","700 Cortelyou Rd","Brooklyn","No",,,,,,,,,,,"Not Solar Ready","No","159,600 GSF","Fair","> 20 years","No","2022","07/07/2022","11218","40.638686","-73.971651","312","490","3126842","3053910001","Kensington-Ocean Parkway"
"40","DOE","K092","601 Parkside Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","Unknown","Unknown","> 20 years","No","2022","07/07/2022","11226","40.656046","-73.953742","309","802","3115866","3050490055","Prospect Lefferts Gardens-Wingate"
"40","DOE","K139","330 Rugby Rd","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","108,000 GSF","Between Good and Fair","10 to 14 years","No","2022","07/07/2022","11226","40.641937","-73.965523","314","1522","3328235","3051440064","Flatbush"
"40","DOE","K141","655 Parkside Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","157,200 GSF","Fair","> 20 years","No","2022","07/07/2022","11226","40.656183","-73.951583","309","802","3378201","3050500051","Prospect Lefferts Gardens-Wingate"
"40","DOE","K246","72 Veronica Pl","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","129,665 GSF","Poor","> 20 years","No","2022","07/07/2022","11226","40.648608","-73.952821","317","794","3117381","3051100025","Erasmus"
"40","DOE","K397","490 Fenimore St","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","38,400 GSF","Between Good and Fair","10 to 14 years","No","2022","07/07/2022","11203","40.658939","-73.94629","309","810","3107315","3048150020","Prospect Lefferts Gardens-Wingate"
"40","DOE","K399","2707 Albemarle Rd","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","38,400 GSF","Between Good and Fair","> 20 years","No","2022","07/07/2022","11226","40.648044","-73.951891","317","824","3117396","3051110001","Erasmus"
"40","DOE","K465","911 Flatbush Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","460,800 GSF","Fair","> 20 years","No","2022","07/07/2022","11226","40.649787","-73.95855","314","794","3336215","3051030010","Erasmus"
"40","DOE","K877","35 Snyder Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","21,660 GSF","Fair","> 20 years","No","2022","07/07/2022","11226","40.648585","-73.957282","314","794","3338996","3051030093","Erasmus"
"40","DSNY","Brooklyn North 9 District Garage","690 New York Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","25,725 GSF","Unknown","Unknown","No","2022","07/07/2022","11203","40.657155","-73.947351","309","804","3327687","3048270039","Prospect Lefferts Gardens-Wingate"
"40","FDNY","Engine Co. 281 and Ladder Co. 147","1210 Cortelyou Rd","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","10,106 GSF","Poor","15 to 19 years","No","2022","07/07/2022","11218","40.64012","-73.966847","314","526","3118638","3051550004","Flatbush"
"40","HHC","Building K","648 Albany Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","61,915 GSF","Between Good and Fair","> 20 years","No","2022","07/07/2022","11203","40.658414","-73.939586","309","808","3327679","3048120001","Prospect Lefferts Gardens-Wingate"
"40","HHC","Building T","689 New York Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","218,710 GSF","Fair","> 20 years","No","2022","07/07/2022","11203","40.657155","-73.947329","309","808","3327725","3048290001","Prospect Lefferts Gardens-Wingate"
"40","HHC","Building Z (Powerhouse)","604 Wintrop St","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","25,215 GSF","Between Good and Fair","> 20 years","No","2022","07/07/2022",,,,,,,,
"40","HHC","Central Laundry","645 Kingston Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","132,355 GSF","Fair","> 20 years","No","2022","07/07/2022","11203","40.657954","-73.94234","309","808","3329549","3048120001","Prospect Lefferts Gardens-Wingate"
"40","HHC","Dr. Susan Smity McKinney Nursing and Rehabilitation Center","594 Albany Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","175,193 GSF","Between Good and Fair","> 20 years","No","2022","07/07/2022","11203","40.659968","-73.939733","309","808","3327674","3048120001","Prospect Lefferts Gardens-Wingate"
"40","HHC","Food Service","599 Kingston Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","50,000 GSF","Between Good and Fair","> 20 years","No","2022","07/07/2022","11203","40.658896","-73.942437","309","808","3329549","3048120001","Prospect Lefferts Gardens-Wingate"
"40","HHC","Hospital Support Office","591 Kingston Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","50,000 GSF","Between Good and Fair","10 to 14 years","No","2022","07/07/2022","11203","40.659058","-73.942455","309","808","3327678","3048120001","Prospect Lefferts Gardens-Wingate"
"40","NYPD","67th Precinct and Engine Company 248","2820 Snyder Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","54,056 GSF","Between Fair and Poor","5 to 9 years","No","2022","07/07/2022","11226","40.648843","-73.951015","317","824","3117400","3051110024","Erasmus"
"40","NYPD","Parade Ground Brooklyn South Task Force (BSTF) HQ","397 Coney Island Ave","Brooklyn","No",,,,,,,,,,,"Not Solar Ready","No","14,300 GSF","Fair","15 to 19 years","No","2022","07/07/2022","11218","40.649009","-73.971603","314","177","3256655","3050510001","park-cemetery-etc-Brooklyn"
"40","OCME","Chief Medical Examiner","599 Winthrop St","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","40,950 GSF","Good","10 to 14 years","No","2022","07/07/2022","11203","40.657723","-73.940499","309","808","3397939","3048120001","Prospect Lefferts Gardens-Wingate"
"41","ACS","Crossroads Juvenile Center","17 Bristol St","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","210,444 GSF","Between Good and Fair","> 20 years","No","2022","07/07/2022","11212","40.670746","-73.912932","316","924","3378202","3034980008","Brownsville"
"41","BPL","Brownsville Branch Library","61 Glenmore Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","10,838 GSF","Between Fair and Poor","2 to 4 years","No","2022","07/07/2022","11212","40.671324","-73.908634","316","906","3080669","3034890150","Brownsville"
"41","BPL","Saratoga Branch Library","8 Thomas S. Boyland St","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","10,040 GSF","Unknown","Unknown","No","2022","07/07/2022","11233","40.68496","-73.9149","316","373","3040218","3014980035","Ocean Hill"
"41","BPL","Stone Avenue Branch Library","581 Mother Gaston Blvd","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","14,258 GSF","Unknown","2 to 4 years","No","2022","07/07/2022","11212","40.664531","-73.905532","316","910","3084596","3037940018","Brownsville"
"41","DOE","K012","430 Howard Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","97,200 GSF","Fair","> 20 years","No","2022","07/07/2022","11233","40.673073","-73.919594","316","363","3039174","3014570032","Ocean Hill"
"41","DOE","K040","265 Ralph Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","121,200 GSF","Fair","10 to 14 years","No","2022","07/07/2022","11233","40.680463","-73.922264","303","379","3041214","3015180001","Stuyvesant Heights"
"41","DOE","K055","2021 Bergen St","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","196,800 GSF","Fair","> 20 years","No","2022","07/07/2022","11233","40.674103","-73.913273","316","36501","3038939","3014480001","Ocean Hill"
"41","DOE","K091","532 Albany Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","Unknown","Unknown","10 to 14 years","No","2022","07/07/2022","11203","40.661886","-73.93994","309","806","3106599","3047940026","Prospect Lefferts Gardens-Wingate"
"41","DOE","K137","121 Saratoga Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","55,200 GSF","Between Good and Fair","10 to 14 years","No","2022","07/07/2022","11233","40.682458","-73.917088","316","373","3040878","3015100001","Ocean Hill"
"41","DOE","K150","364 Sackman St","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","114,000 GSF","Fair","10 to 14 years","No","2022","07/07/2022","11212","40.66896","-73.904726","316","908","3084012","3037440009","Brownsville"
"41","DOE","K175","226 Bristol St","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","106,800 GSF","Fair","> 20 years","No","2022","07/07/2022","11212","40.665878","-73.911705","316","924","3081419","3035410001","Brownsville"
"41","DOE","K178","1784 Park Pl","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","93,600 GSF","Under Construction","Under Construction","No","2022","07/07/2022","11233","40.671675","-73.918302","316","363","3039391","3014670027","Ocean Hill"
"41","DOE","K189","1100 East New York Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","107,749 GSF","Fair","> 20 years","No","2022","07/07/2022","11212","40.665565","-73.926246","317","892","3099537","3045990001","Brownsville"
"41","DOE","K219","1060 Clarkson Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","96,000 GSF","Under Construction","Under Construction","No","2022","07/07/2022","11212","40.659288","-73.922919","317","886","3101168","3046480001","Rugby-Remsen Village"
"41","DOE","K235","525 Lenox Rd","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","66,000 GSF","Between Good and Fair","5 to 9 years","No","2022","07/07/2022","11203","40.654704","-73.941089","317","814","3107846","3048440001","East Flatbush-Farragut"
"41","DOE","K252","1084 Lenox Rd","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","94,000 GSF","Between Fair and Poor","15 to 19 years","No","2022","07/07/2022","11212","40.658295","-73.920109","317","886","3101840","3046690037","Rugby-Remsen Village"
"41","DOE","K263","210 Chester St","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","131,500 GSF","Fair","> 20 years","No","2022","07/07/2022","11212","40.666545","-73.910904","316","924","3081442","3035420001","Brownsville"
"41","DOE","K268","133 East 53rd St","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","86,067 GSF","Fair","> 20 years","No","2022","07/07/2022","11203","40.657131","-73.928018","317","866","3100292","3046230028","Rugby-Remsen Village"
